epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9975.61,0.84918,0.87393,1.42954,0.94454,0.90834,0.93147,0.75117,0.81493,0.54611,1.57569,0.0005941,0.0005941,0.0005941
43,10212.6,0.85686,0.88284,1.43649,0.93212,0.90814,0.9252,0.77453,0.75208,0.51259,1.49031,0.0005842,0.0005842,0.0005842
44,10449.7,0.84513,0.87213,1.42779,0.93675,0.91185,0.92624,0.76589,0.78103,0.53779,1.52936,0.0005743,0.0005743,0.0005743
45,10686.7,0.84668,0.87143,1.42623,0.92642,0.90613,0.92739,0.76849,0.75814,0.5114,1.49515,0.0005644,0.0005644,0.0005644
46,10925,0.85294,0.86947,1.4309,0.92493,0.90983,0.93092,0.77069,0.75398,0.5182,1.49074,0.0005545,0.0005545,0.0005545
47,11162.8,0.85619,0.87357,1.43582,0.92242,0.91629,0.92872,0.76378,0.77238,0.53138,1.51606,0.0005446,0.0005446,0.0005446
48,11400.6,0.84927,0.85698,1.42332,0.96173,0.89128,0.92506,0.77065,0.76823,0.51872,1.50053,0.0005347,0.0005347,0.0005347
49,11637.7,0.84114,0.85501,1.42279,0.93308,0.92491,0.9379,0.77966,0.73377,0.48478,1.4679,0.0005248,0.0005248,0.0005248
50,11876.4,0.83903,0.85787,1.41937,0.93512,0.90773,0.93416,0.77738,0.7494,0.49811,1.49044,0.0005149,0.0005149,0.0005149
51,12113.3,0.82787,0.82695,1.41082,0.93394,0.90951,0.92923,0.7644,0.79889,0.5131,1.54976,0.000505,0.000505,0.000505
52,12350.3,0.83477,0.83331,1.41491,0.92819,0.90774,0.93159,0.76448,0.7851,0.50259,1.55406,0.0004951,0.0004951,0.0004951
53,12588.6,0.82369,0.82635,1.40836,0.92476,0.90918,0.92646,0.77493,0.7465,0.50624,1.49327,0.0004852,0.0004852,0.0004852
54,12826.4,0.81825,0.80661,1.40199,0.9407,0.90486,0.93332,0.76711,0.78472,0.50697,1.53625,0.0004753,0.0004753,0.0004753
55,13063.8,0.82814,0.81906,1.40991,0.94671,0.90635,0.9289,0.77303,0.73548,0.48744,1.47956,0.0004654,0.0004654,0.0004654
56,13301,0.82678,0.81721,1.40775,0.93255,0.90063,0.92677,0.75934,0.76384,0.51348,1.51166,0.0004555,0.0004555,0.0004555
57,13538.7,0.81899,0.81012,1.40665,0.94292,0.90291,0.92611,0.77104,0.74643,0.49607,1.48096,0.0004456,0.0004456,0.0004456
58,13776.3,0.81905,0.80909,1.40196,0.94738,0.90538,0.93245,0.77738,0.74141,0.48939,1.48531,0.0004357,0.0004357,0.0004357
59,14014,0.80515,0.80528,1.39193,0.94533,0.90387,0.92863,0.77819,0.71567,0.49264,1.45466,0.0004258,0.0004258,0.0004258
60,14251.8,0.80993,0.8059,1.39477,0.95242,0.88871,0.92898,0.77936,0.72505,0.50035,1.46065,0.0004159,0.0004159,0.0004159
61,14489.6,0.80687,0.77801,1.39284,0.94056,0.89814,0.93363,0.76563,0.7763,0.49379,1.52249,0.000406,0.000406,0.000406
62,14727.1,0.80877,0.78851,1.39252,0.95123,0.89688,0.92803,0.77334,0.73743,0.49173,1.47285,0.0003961,0.0003961,0.0003961
63,14965.3,0.80828,0.78343,1.39042,0.95955,0.90246,0.93458,0.77705,0.7339,0.48755,1.47791,0.0003862,0.0003862,0.0003862
64,15204.6,0.80271,0.76911,1.388,0.95748,0.90902,0.93652,0.781,0.72844,0.47482,1.46451,0.0003763,0.0003763,0.0003763
65,15443.2,0.79414,0.78914,1.38696,0.94804,0.91621,0.93498,0.77856,0.72702,0.4864,1.46931,0.0003664,0.0003664,0.0003664
66,15681.8,0.80292,0.78482,1.38668,0.95841,0.91111,0.93703,0.78207,0.72504,0.48672,1.46413,0.0003565,0.0003565,0.0003565
67,15920.7,0.79077,0.76647,1.3769,0.93946,0.91468,0.9338,0.78113,0.72073,0.47328,1.45762,0.0003466,0.0003466,0.0003466
68,16159.1,0.79791,0.76973,1.38003,0.95141,0.9033,0.93155,0.78409,0.71495,0.47317,1.44598,0.0003367,0.0003367,0.0003367
69,16397.3,0.78251,0.75006,1.37313,0.95076,0.88694,0.92818,0.783,0.69796,0.47629,1.42983,0.0003268,0.0003268,0.0003268
70,16635.9,0.79304,0.78052,1.38236,0.94707,0.9075,0.93486,0.78807,0.70398,0.47117,1.43986,0.0003169,0.0003169,0.0003169
71,16874.8,0.78088,0.73273,1.36681,0.94645,0.90727,0.93493,0.77551,0.73863,0.48071,1.48376,0.000307,0.000307,0.000307
72,17113.4,0.79056,0.76023,1.3763,0.94492,0.91036,0.93367,0.78187,0.7048,0.48008,1.43216,0.0002971,0.0002971,0.0002971
73,17351.7,0.78077,0.74911,1.37099,0.94166,0.90648,0.93432,0.78426,0.70718,0.47815,1.43037,0.0002872,0.0002872,0.0002872
74,17589.5,0.78091,0.75016,1.36832,0.94195,0.90983,0.93702,0.78597,0.7145,0.48302,1.45217,0.0002773,0.0002773,0.0002773
75,17828.1,0.77792,0.73805,1.37056,0.9355,0.90947,0.93252,0.78389,0.70656,0.48422,1.44668,0.0002674,0.0002674,0.0002674
76,18067.1,0.78019,0.74609,1.36802,0.9308,0.91338,0.93534,0.78666,0.72175,0.48075,1.46487,0.0002575,0.0002575,0.0002575
77,18306.2,0.77041,0.73163,1.36449,0.94608,0.9096,0.93587,0.78643,0.7231,0.47484,1.46448,0.0002476,0.0002476,0.0002476
78,18544.5,0.76812,0.72095,1.36032,0.93579,0.91451,0.93688,0.78465,0.70734,0.47404,1.44026,0.0002377,0.0002377,0.0002377
79,18782.4,0.76352,0.7179,1.3578,0.94864,0.90663,0.93555,0.78246,0.71194,0.47337,1.44607,0.0002278,0.0002278,0.0002278
80,19020.1,0.76625,0.71288,1.36013,0.92027,0.91867,0.93416,0.7909,0.69701,0.47975,1.43059,0.0002179,0.0002179,0.0002179
81,19258.1,0.76625,0.70965,1.35967,0.93643,0.91508,0.93729,0.7958,0.68774,0.46509,1.41704,0.000208,0.000208,0.000208
82,19496,0.76808,0.72421,1.35839,0.93501,0.91921,0.93541,0.78959,0.70945,0.46301,1.44104,0.0001981,0.0001981,0.0001981
83,19733.1,0.75841,0.70173,1.35354,0.93046,0.91552,0.93478,0.79107,0.69036,0.46964,1.42028,0.0001882,0.0001882,0.0001882
84,19969.8,0.75585,0.69766,1.34876,0.93753,0.9145,0.93535,0.79068,0.70248,0.46342,1.4351,0.0001783,0.0001783,0.0001783
85,20206.9,0.75022,0.69576,1.34671,0.94655,0.91299,0.93617,0.79429,0.69448,0.45261,1.43041,0.0001684,0.0001684,0.0001684
86,20445.7,0.75242,0.69982,1.3507,0.94218,0.91367,0.93493,0.79409,0.68553,0.45659,1.41562,0.0001585,0.0001585,0.0001585
87,20683.2,0.75451,0.70015,1.34579,0.95648,0.90753,0.93868,0.79819,0.68056,0.44778,1.40894,0.0001486,0.0001486,0.0001486
88,20921,0.7599,0.69583,1.35163,0.95012,0.91258,0.93819,0.79596,0.69003,0.44903,1.41777,0.0001387,0.0001387,0.0001387
89,21158.4,0.74848,0.68825,1.34315,0.96238,0.90972,0.94008,0.80018,0.68848,0.44762,1.41785,0.0001288,0.0001288,0.0001288
90,21396.6,0.75468,0.69654,1.3483,0.94893,0.91466,0.93617,0.79643,0.68853,0.45307,1.41779,0.0001189,0.0001189,0.0001189
91,21634.1,0.48506,0.48268,1.26217,0.9453,0.91607,0.93702,0.79178,0.69659,0.46018,1.43298,0.000109,0.000109,0.000109
92,21872.7,0.48151,0.45552,1.26393,0.94896,0.90856,0.93724,0.79125,0.69849,0.46251,1.44061,9.91e-05,9.91e-05,9.91e-05
93,22109.9,0.48232,0.45701,1.26526,0.94423,0.91617,0.93473,0.78953,0.69953,0.45858,1.43414,8.92e-05,8.92e-05,8.92e-05
94,22347.2,0.47388,0.44604,1.25174,0.94303,0.91369,0.93535,0.79265,0.68902,0.46011,1.42413,7.93e-05,7.93e-05,7.93e-05
95,22584,0.47006,0.43936,1.24858,0.94743,0.90738,0.93425,0.79052,0.68799,0.45707,1.42156,6.94e-05,6.94e-05,6.94e-05
96,22820.9,0.46161,0.43743,1.24549,0.93577,0.92329,0.93323,0.78974,0.68648,0.46086,1.42349,5.95e-05,5.95e-05,5.95e-05
97,23058.2,0.46284,0.43454,1.24537,0.93988,0.92099,0.93236,0.78918,0.68369,0.45996,1.41706,4.96e-05,4.96e-05,4.96e-05
98,23294.9,0.46091,0.42548,1.24582,0.93925,0.91808,0.93026,0.79281,0.67609,0.46329,1.40921,3.97e-05,3.97e-05,3.97e-05
99,23531.5,0.45907,0.42694,1.24106,0.9425,0.91859,0.93285,0.79607,0.67403,0.46296,1.40391,2.98e-05,2.98e-05,2.98e-05
100,23768.7,0.45466,0.42517,1.24267,0.94033,0.92186,0.93365,0.79495,0.67429,0.46114,1.40373,1.99e-05,1.99e-05,1.99e-05
